User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
jkmkhoo,2022-09-29 13:30:47+00:00,2,Twitter Web App,this restaurant at near sunday university might suit a british palate well winkingface,en,restaurant near sunday university might suit british palate well winkingface,0.0,0.84,0.16,0.2732,positive
eurospan,2022-09-29 09:46:32+00:00,0,Twitter Web App,exciting news sunday university press have launched a branded short story competition inspired by the un sustainable development goals you can find out more on european blow now,en,exciting news sunday university press launched branded short story competition inspired un sustainable development goal find european blow,0.0,0.752,0.248,0.7845,positive
SunwayCPH,2022-09-29 08:30:05+00:00,4,Twitter for iPhone,check this outour chief plantar health scientist dris in the latest episode of katipunan dialogue podcast speakingheadplanetaryhealth sunwaycph sunwayuniversity upside,en,check outour chief plantar health scientist dris latest episode katipunan dialogue podcast speakingheadplanetaryhealth sunwaycph sunwayuniversity upside,0.0,1.0,0.0,0.0,neutral
keenguyencaphe,2022-09-29 04:13:02+00:00,5,Twitter for Android,thus that was an amazing weekend as see nguyễn went on the loose to bring vietnams finest coffee into sunday university big buds keenguyensunway for all hardware and we hope one sip brings you vienna or back already winkingfacegot events do,en,thus amazing weekend see nguyễn went loose bring vietnam finest coffee sunday university big bud keenguyensunway hardware hope one sip brings vienna back already winkingfacegot event,0.049,0.809,0.143,0.6597,positive
Mia7Jane,2022-09-28 11:16:17+00:00,1,Twitter for Android,he asked dr jane from sunday university but not malaysia grinningsquintingface mosthappeningcampus,en,asked dr jane sunday university malaysia grinningsquintingface mosthappeningcampus,0.0,1.0,0.0,0.0,neutral
SunwayCPH,2022-09-27 06:52:59+00:00,3,Twitter for iPhone,truly one of the greatestMalaysiagreenheart thank your this special feature on our executive directorplanetaryhealth sunwaycph sunwayuniversity climatecrisis,en,truly one greatestMalaysiagreenheart thank special feature executive directorplanetaryhealth sunwaycph sunwayuniversity climatecrisis,0.0,0.633,0.367,0.7964,positive
SunwayCPH,2022-09-27 06:17:26+00:00,4,Twitter for iPhone,thank your visiting us exciting things aheadunicefmalaysia sunwaycph planetaryhealth sunwayuniversity sunwayxfarms,en,thank visiting u exciting thing aheadunicefmalaysia sunwaycph planetaryhealth sunwayuniversity sunwayxfarms,0.0,0.612,0.388,0.6908,positive
SunwayCPH,2022-09-27 06:17:23+00:00,4,Twitter for iPhone,we gave them the tour of wonderful sunday university camps farms amp our office at graduate centre ​we also discussed future joint research advocacy plans raisinghandsunicefmalaysia sunwaycph planetaryhealth sunwayuniversity sunwayxfarms,en,gave tour wonderful sunday university camp farm amp office graduate centre also discussed future joint research advocacy plan raisinghandsunicefmalaysia sunwaycph planetaryhealth sunwayuniversity sunwayxfarms,0.0,0.887,0.113,0.5719,positive
SunwayCPH,2022-09-27 06:17:20+00:00,5,Twitter for iPhone,last week our friends fromvisited us ​unicefmalaysia sunwaycph planetaryhealth sunwayuniversity sunwayxfarms,en,last week friend fromvisited u unicefmalaysia sunwaycph planetaryhealth sunwayuniversity sunwayxfarms,0.0,0.763,0.237,0.4767,positive
Mia7Jane,2022-09-26 23:38:57+00:00,3,Twitter for Android,afterweeks in france a pad student stopped me and asked are you dr jane from sunday university was she in popular i know it havana grinningsquintingface,en,afterweeks france pad student stopped asked dr jane sunday university popular know havana grinningsquintingface,0.071,0.824,0.105,0.2263,positive
great_peters,2022-09-26 14:22:13+00:00,0,Revive Social App,sunday university international awards malaysia ,en,sunday university international award malaysia ,0.0,0.571,0.429,0.4588,positive
michellengms,2022-09-26 12:27:00+00:00,30,Twitter for iPhone,slowing climate change requires behavior changed it is the duty of governments to facilitate this for its citizenswe are very glad be working with our partners like sunday university in sharing message on plantar health conservation and sustainability ,en,slowing climate change requires behavior changed duty government facilitate citizenswe glad working partner like sunday university sharing message plantar health conservation sustainability ,0.0,0.803,0.197,0.8221,positive
sunwayechomedia,2022-09-26 10:30:09+00:00,0,WordPress.com,if you are currently studying in sunday college or university would definitely have heard of student ambassadors most recent event action that was held from the th august to rd septemberread on for more action,en,currently studying sunday college university would definitely heard student ambassador recent event action held th august rd septemberread action,0.0,0.926,0.074,0.4019,positive
thekopidao,2022-09-26 02:51:36+00:00,19,Twitter Web App,we had another successful event with sunday university this past friday thank you and teach club for putting togetherwatch out shippers of the session and launch our web fundamentals course in octoberweb kopidao elated blockchain,en,another successful event sunday university past friday thank teach club putting togetherwatch shipper session launch web fundamental course octoberweb kopidao elated blockchain,0.0,0.753,0.247,0.8885,positive
MIASAMalaysia,2022-09-26 02:01:18+00:00,0,Twitter Web App,thank you for having us at their campuswithaconscience it was a really great sessionmiss had the opportunity to introduce our services and conducted activities,en,thank u campuswithaconscience really great sessionmiss opportunity introduce service conducted activity,0.0,0.674,0.326,0.8655,positive
iamflorahh,2022-09-25 16:04:57+00:00,3,Twitter Web App,these two amazing people daniel roman director of sunday university together with ida the co trunk about roman foundation what an inspiration,en,two amazing people daniel roman director sunday university together ida co trunk roman foundation inspiration,0.0,0.735,0.265,0.802,positive
theedgemalaysia,2022-09-25 12:35:04+00:00,2,ProdTheEdgeMarketsFeedAPI,sunday university hosts weeklong festival in support of un sustainable development goals,en,sunday university host weeklong festival support un sustainable development goal,0.0,0.629,0.371,0.7096,positive
staronline,2022-09-25 00:33:00+00:00,0,TwitterRSSTSOLAgent,sunday university hosts week long sg festival,en,sunday university host week long sg festival,0.0,0.652,0.348,0.4939,positive
CJMalaysia,2022-09-25 00:30:00+00:00,0,Twitter Web App,this unique festival at sunday university is first of its kind in asia features talks performances interactive workshops and corporate displays read more,en,unique festival sunday university first kind asia feature talk performance interactive workshop corporate display read,0.0,0.761,0.239,0.765,positive
MengKeetYong,2022-09-24 14:49:30+00:00,0,Twitter for iPhone,an calumny event of sunday university,en,calumny event sunday university,0.0,1.0,0.0,0.0,neutral
NovieTajuddin,2022-09-24 11:59:54+00:00,0,Instagram,just posted a photojeffrey cheap hall sunday university,en,posted photojeffrey cheap hall sunday university,0.0,1.0,0.0,0.0,neutral
ZAEDZmd,2022-09-23 13:06:50+00:00,0,Twitter for Android,i attend a symposium at sunday university today and when meet the provost he starts asking about my daughter since this is our first meeting am both shocked impresseda broader mind helps to create respected personalities,en,attend symposium sunday university today meet provost start asking daughter since first meeting shocked impresseda broader mind help create respected personality,0.057,0.748,0.195,0.6705,positive
