User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
zulyusmardotcom,2022-09-30 16:54:38+00:00,0,IFTTT,taylor university confers award to sister end ran for her contribution in laying the foundation women education national recognition of education and significant contributions community welfare assistance …,en,taylor university confers award sister end ran contribution laying foundation woman education national recognition education significant contribution community welfare assistance ,0.0,0.825,0.175,0.6486,positive
saraspeaks_now_,2022-09-30 04:03:17+00:00,5,Twitter for Android,university is not good for me first one to like taylor tikhon in just donna leave this here,en,university good first one like taylor tikhon donna leave,0.171,0.711,0.118,-0.0274,negative
COOXasia,2022-09-30 03:00:02+00:00,1,Twitter Web App,dim sum for everyone order from pay din hall and delicious dorsum dumplingdumplingcheck out their menu on cook application today place your orderavailable at cook taylor university lakeside campscooxasia cooxkitchens pakdindimsum cloudkitchen cloudkitchenmalaysia,en,dim sum everyone order pay din hall delicious dorsum dumplingdumplingcheck menu cook application today place orderavailable cook taylor university lakeside campscooxasia cooxkitchens pakdindimsum cloudkitchen cloudkitchenmalaysia,0.039,0.859,0.102,0.5106,positive
cookiessaaji,2022-09-28 15:44:13+00:00,2,Twitter for Android,it was a pleasure to meet the debates of taylor university and judas committees excuse,en,pleasure meet debate taylor university juda committee excuse,0.0,0.706,0.294,0.6124,positive
SkeshMM,2022-09-27 15:47:12+00:00,0,Instagram,just posted a phototaylors university,en,posted phototaylors university,0.0,1.0,0.0,0.0,neutral
homewrecker_lhc,2022-09-27 11:40:07+00:00,4,Twitter for Android,the way from my form to university takes exactly one all too well ten minute version taylor vault,en,way form university take exactly one well ten minute version taylor vault,0.0,0.89,0.11,0.2732,positive
iqaxjip20,2022-09-27 09:03:11+00:00,6,Twitter for iPhone,ever wonder why is it so hard to afford things nowadays tonight at taylor university come and join find out,en,ever wonder hard afford thing nowadays tonight taylor university come join find,0.085,0.816,0.1,0.0859,positive
sansan_3110,2022-09-26 23:41:31+00:00,0,Twitter for iPhone,until university because when i study at taylor none of my malaysian friends take balaga delay but it is also the same like in indonesia facewithtearsofjoy,en,university study taylor none malaysian friend take balaga delay also like indonesia facewithtearsofjoy,0.057,0.76,0.183,0.5647,positive
staronline,2022-09-26 04:08:45+00:00,1,Twitter Web App,it is truly wonderful to see more and status following the footsteps of already established companies innovations new products solutionscap sue yiibrought you by taylor university,en,truly wonderful see status following footstep already established company innovation new product solutionscap sue yiibrought taylor university,0.0,0.784,0.216,0.765,positive
MWYRFR,2022-09-25 10:30:03+00:00,0,Instagram,coconut snowflaketaylor university,en,coconut snowflaketaylor university,0.0,1.0,0.0,0.0,neutral
