User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
ACS_Omega,2022-09-29 14:30:05+00:00,8,Brandwatch,playbutton influence of highly stable nip species in ni phyllosilicate cataclysms on selective hydrogenation furfural to furfuryl alcoholbustsinsilhouette christopher w jones joongjai panpranot amp workers,en,playbutton influence highly stable nip specie ni phyllosilicate cataclysm selective hydrogenation furfural furfuryl alcoholbustsinsilhouette christopher w jones joongjai panpranot amp worker,0.0,0.902,0.098,0.3597,positive
MwakibeteMula,2022-09-29 09:03:23+00:00,1,Twitter for Android,been there for more than two years us university,en,two year u university,0.0,1.0,0.0,0.0,neutral
Uni_of_Essex,2022-09-28 15:00:12+00:00,5,Oktopost,an amazing day celebrating partnerships in malaysia with and were so proud of our growing and looking to build on research education links,en,amazing day celebrating partnership malaysia proud growing looking build research education link,0.0,0.59,0.41,0.9215,positive
PTIKPOfficial,2022-09-28 07:38:50+00:00,20,Twitter for Android,following the worldtourismdaytheme thinking tourism an you on digital reconstruction of sites in hyper pakhtunkhwa was signed betweenand kpkupdates kparchaeology,en,following worldtourismdaytheme thinking tourism digital reconstruction site hyper pakhtunkhwa signed betweenand kpkupdates kparchaeology,0.0,1.0,0.0,0.0,neutral
KPDOAMOfficial,2022-09-28 06:53:56+00:00,11,Twitter for Android,following the worldtourismdaytheme thinking tourism an you on digital reconstruction of sites in hyper pakhtunkhwa was signed betweenand kparchaeology,en,following worldtourismdaytheme thinking tourism digital reconstruction site hyper pakhtunkhwa signed betweenand kparchaeology,0.0,1.0,0.0,0.0,neutral
ucsiuniversity,2022-09-26 04:10:34+00:00,0,Twitter Web App,throwback to last saturdays hotpepper spice chats with hot firefirefire impact status supported by hut tula tumour in partnership us breadboardus ucsiuniversity startupevents impactstartup spicynoodles business entrepreneurship,en,throwback last saturday hotpepper spice chat hot firefirefire impact status supported hut tula tumour partnership u breadboardus ucsiuniversity startupevents impactstartup spicynoodles business entrepreneurship,0.0,0.919,0.081,0.3182,positive
ucsiuniversity,2022-09-26 00:12:21+00:00,0,Twitter Web App,congratulations to our honourable health directorgeneral an sir dr door horsham abdullahus ucsiuniversity oh ministryofhealth malaysia surgeon medicine award international medal,en,congratulation honourable health directorgeneral sir dr door horsham abdullahus ucsiuniversity oh ministryofhealth malaysia surgeon medicine award international medal,0.0,0.556,0.444,0.9274,positive
MYEmbKhartoum,2022-09-24 16:56:37+00:00,4,Twitter Web App,us university signed a memorandum of understanding you with the sudan science and technology sustfacebook link,en,u university signed memorandum understanding sudan science technology sustfacebook link,0.0,1.0,0.0,0.0,neutral
MYEmbKhartoum,2022-09-21 17:27:53+00:00,3,Twitter Web App,the ambassador of malaysia and us university met with minister higher education republic sudanfacebook link,en,ambassador malaysia u university met minister higher education republic sudanfacebook link,0.0,1.0,0.0,0.0,neutral
MYEmbKhartoum,2022-09-21 17:15:03+00:00,3,Twitter Web App,courtesy call by mr than joe jim acting chief marketing officer student enrollment center us universityfacebook link,en,courtesy call mr joe jim acting chief marketing officer student enrollment center u universityfacebook link,0.0,0.865,0.135,0.3612,positive
MYEmbKhartoum,2022-09-21 17:08:57+00:00,2,Twitter Web App,the ambassador of malaysia and us university met with he mahmoud siralkhatim alhurri acting minister federal ministry education republic sudanfacebook link,en,ambassador malaysia u university met mahmoud siralkhatim alhurri acting minister federal ministry education republic sudanfacebook link,0.0,1.0,0.0,0.0,neutral
MYEmbKhartoum,2022-09-21 17:01:47+00:00,2,Twitter Web App,the ambassador of malaysia and us university met with vice chancellor khartoumfacebook link,en,ambassador malaysia u university met vice chancellor khartoumfacebook link,0.0,1.0,0.0,0.0,neutral
MYEmbKhartoum,2022-09-21 16:52:24+00:00,3,Twitter Web App,the ambassador of malaysia met he gariballah mohammad armed acting minister education and general director – khartoum statefacebook link,en,ambassador malaysia met gariballah mohammad armed acting minister education general director khartoum statefacebook link,0.0,1.0,0.0,0.0,neutral
MTE_2022,2022-09-21 04:48:12+00:00,0,Twitter Web App,we would like to thank you and extend a very warm welcome professor dark in to dr sit hamisah into taper vicechancelloras our jointchair private university of the awards committee for mesg international innovation awards,en,would like thank extend warm welcome professor dark dr sit hamisah taper vicechancelloras jointchair private university award committee mesg international innovation award,0.0,0.556,0.444,0.957,positive
ucsiuniversity,2022-09-15 09:27:46+00:00,0,Twitter Web App,happy malaysia dayucsiuniversity us malaysiaday keluargamalaysia teguhbersama,en,happy malaysia dayucsiuniversity u malaysiaday keluargamalaysia teguhbersama,0.0,0.619,0.381,0.5719,positive
ucsiuniversity,2022-09-09 01:46:39+00:00,0,Twitter Web App,follow us for more fun video on campsjust click,en,follow u fun video campsjust click,0.0,0.69,0.31,0.5563,positive
ZakriZAH,2022-09-08 14:51:33+00:00,5,LinkedIn,delighted to join malaysias us university as a distinguished professor and founding director of its international institute for science diplomacy sustainability,en,delighted join malaysia u university distinguished professor founding director international institute science diplomacy sustainability,0.0,0.766,0.234,0.6705,positive
