User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
MalaysiaMFA,2022-09-29 08:16:24+00:00,6,Twitter for Android, the special lecture was delivered by distinguished professor dark dr shameful ami baharuddin founding director of national institute ethnic studies kit university malaysia,en, special lecture delivered distinguished professor dark dr shameful ami baharuddin founding director national institute ethnic study kit university malaysia,0.119,0.781,0.1,-0.128,negative
MalaysiaMFA,2022-09-29 06:49:33+00:00,3,Twitter for Android, together with prof dark dr axis usual yusoff principal fellow of national university malaysia ,en, together prof dark dr axis usual yusoff principal fellow national university malaysia ,0.0,1.0,0.0,0.0,neutral
GlobalOfficeStA,2022-09-22 11:48:37+00:00,9,Twitter Web App,therecently welcomed a delegation visit from the national university of malaysiafor signing memorandum understanding between two institutions and to discuss future partnership development globalstandrewsglobeshowingAsiaAustralia,en,therecently welcomed delegation visit national university malaysiafor signing memorandum understanding two institution discus future partnership development globalstandrewsglobeshowingAsiaAustralia,0.0,0.902,0.098,0.34,positive
AAsiemo,2022-09-13 23:46:17+00:00,0,Blog2Social APP,i think the commonwealth is still relevant says prof susan just from national university of malaysia who advises government on trade for cultural and educational links course legal system inherited common law,en,think commonwealth still relevant say prof susan national university malaysia advises government trade cultural educational link course legal system inherited common law,0.0,0.952,0.048,0.128,positive
isearch247,2022-09-13 23:29:06+00:00,0,isearch247,queen elizabeth ii what her death means to malaysiai think the commonwealth is still relevant says prof susan just from national university of malaysia who advises government on trade for cultural and educational links ,en,queen elizabeth ii death mean malaysiai think commonwealth still relevant say prof susan national university malaysia advises government trade cultural educational link ,0.106,0.894,0.0,-0.5994,negative
DrJaySong,2022-08-29 08:38:59+00:00,6,Twitter Web App,please come along to learn about south koreaasean and australiakorea relations with amazing guest speakerfrom the national university of malaysiaregister foresee you there,en,please come along learn south koreaasean australiakorea relation amazing guest speakerfrom national university malaysiaregister foresee,0.0,0.775,0.225,0.7269,positive
sakak_musdom,2022-08-25 08:09:28+00:00,84,Twitter for iPhone,last night ulm national university of malaysia is pad candidate his van dampresents his research on bitcoins lightning network securityhispaper improves the balance discovery attack vulnerability and helped in des with potential solutions,en,last night ulm national university malaysia pad candidate van dampresents research bitcoins lightning network securityhispaper improves balance discovery attack vulnerability helped de potential solution,0.13,0.753,0.117,-0.128,negative
JinXunGoh,2022-08-20 13:58:53+00:00,136,Twitter for iPhone,parents for the pastdays since give been back see isn malaysia great just move back or go to singapore that very close too national university of singapore is hiring right call their department chair if there hiring do you want us chairme,en,parent pastdays since give back see malaysia great move back go singapore close national university singapore hiring right call department chair hiring want u chairme,0.0,0.881,0.119,0.6597,positive
YourKayBol,2022-08-18 05:48:28+00:00,69,Twitter Web App,national university of lesotho null is ranged st in lesothoth africa and th the world by dranklimkokwing creative technology with malaysia th worldboth nd rd world,en,national university lesotho null ranged st lesothoth africa th world dranklimkokwing creative technology malaysia th worldboth nd rd world,0.0,0.896,0.104,0.4404,positive
PredeepNambiar,2022-08-04 09:18:48+00:00,2,Twitter Web App,by sobbing the arbitration malaysia is confined to arguing procedure validity rather than making a case against heirs claims said n jason calamity head of investment law and policy at national university singapore,en,sobbing arbitration malaysia confined arguing procedure validity rather making case heir claim said n jason calamity head investment law policy national university singapore,0.162,0.838,0.0,-0.6808,negative
TanHock49465606,2022-08-04 03:20:27+00:00,0,Twitter Web App,shock an ☞intellectual ☞writer ☞producer☞citizen of the global family☞born and grew up in malaysia☞educated malaysia singapore up canada us☞worked us chinaincluding national university nanyang technological,en,shock intellectual writer producer citizen global family born grew malaysia educated malaysia singapore canada u worked u chinaincluding national university nanyang technological,0.098,0.902,0.0,-0.3818,negative
samoaobserver,2022-07-31 09:10:00+00:00,0,Buffer,the national university of samoa nus vice chancellor has attended a conference in opening malaysia and shared on impact covid anaemic higher education,en,national university samoa nu vice chancellor attended conference opening malaysia shared impact covid anaemic higher education,0.0,0.897,0.103,0.34,positive
