User,Date_Created,Number_of_Likes,Source_of_Tweet,Tweet,Language,Tokenized_Tweet,Negative,Neutral,Positive,Compound,Sentiment
sbesaupm,2022-09-29 11:07:15+00:00,0,Twitter for iPhone,school of business and economicsstudent associationuniversiti put malaysiasbesaupmspeupmberilmuberbaktiweloveupmsbesaupm,en,school business economicsstudent associationuniversiti put malaysiasbesaupmspeupmberilmuberbaktiweloveupmsbesaupm,0.0,1.0,0.0,0.0,neutral
sbesaupm,2022-09-29 11:05:29+00:00,0,Twitter for iPhone,for further inquiries please contactmobilephonefarehammobilephoneainschool of business and economicsstudent associationuniversiti put malaysiasbesaupmspeupmberilmuberbaktiweloveupmsbesaupm,en,inquiry please contactmobilephonefarehammobilephoneainschool business economicsstudent associationuniversiti put malaysiasbesaupmspeupmberilmuberbaktiweloveupmsbesaupm,0.0,0.827,0.173,0.3182,positive
theiubwp,2022-09-29 06:36:34+00:00,6,Twitter Web App,department of applied psychology successfully organized and preconference workshop on quantitative data analysis by prof dr seven eric grasslater from university put malaysia,en,department applied psychology successfully organized preconference workshop quantitative data analysis prof dr seven eric grasslater university put malaysia,0.0,0.873,0.127,0.4939,positive
sbesaupm,2022-09-29 04:04:23+00:00,0,Twitter for iPhone,pushpinbased on your time availability and not tied to a specific schedules what are you waiting for lets register nowdoubleexclamationmarkschool of business economicsstudent associationuniversiti put malaysiasbesaupmspeupmberilmuberbaktiweloveupmsbesaupm,en,pushpinbased time availability tied specific schedule waiting let register nowdoubleexclamationmarkschool business economicsstudent associationuniversiti put malaysiasbesaupmspeupmberilmuberbaktiweloveupmsbesaupm,0.0,1.0,0.0,0.0,neutral
IabsUpm,2022-09-28 05:08:27+00:00,0,Twitter Web App,join iabsexpand your network and grab a chance to win some prizesvisit our webster for more infoconferencealert iabs universitiputramalaysia universitibrawijaya,en,join iabsexpand network grab chance win prizesvisit webster infoconferencealert iabs universitiputramalaysia universitibrawijaya,0.0,0.667,0.333,0.7906,positive
IabsUpm,2022-09-26 08:18:43+00:00,2,Twitter Web App,dont miss the deadlineregister and submit your abstract to iabs for more information please visit our websiteabstractdeadline conferenceabstracts iabs universitiputramalaysia universitasbrawijaya,en,dont miss deadlineregister submit abstract iabs information please visit websiteabstractdeadline conferenceabstracts iabs universitiputramalaysia universitasbrawijaya,0.0,0.825,0.175,0.4629,positive
juliazafri,2022-09-26 07:59:23+00:00,2,Twitter for Android,world environmental health day the will be celebrated every with september of the year by international federation ifehenvironmental and occupational club envochuniversiti put malaysia,en,world environmental health day celebrated every september year international federation ifehenvironmental occupational club envochuniversiti put malaysia,0.0,0.861,0.139,0.5719,positive
sinardailymy,2022-09-26 04:58:45+00:00,0,Twitter Web App,the university put malaysia faculty of human colony dean said those who struggled with insufficient income needed to find ways adding it through pastime work or raise their skill economy consumer finance specialist,en,university put malaysia faculty human colony dean said struggled insufficient income needed find way adding pastime work raise skill economy consumer finance specialist,0.07,0.93,0.0,-0.34,negative
drshamala,2022-09-25 11:16:53+00:00,27,Twitter for iPhone,that truly the magnificent landscape of malaysian sports where a national hockey player can pursue degree in medicine congratulations kirandeep and thank you university put malaysiamales susan near ministry higher education more,en,truly magnificent landscape malaysian sport national hockey player pursue degree medicine congratulation kirandeep thank university put malaysiamales susan near ministry higher education,0.0,0.672,0.328,0.9217,positive
sbesaupm,2022-09-25 11:01:00+00:00,0,Twitter for iPhone,school of business and economics student association best is looking forward to meeting all the new faces in coming smelterschool economicsstudent associationuniversiti put malaysia,en,school business economics student association best looking forward meeting new face coming smelterschool economicsstudent associationuniversiti put malaysia,0.0,0.846,0.154,0.6369,positive
sbesaupm,2022-09-25 11:01:00+00:00,0,Twitter for iPhone,after waiting for a long time now is the time to move forward toward next phase of life therefore we would like welcome all you warmheartedly school business and economics university put malaysia,en,waiting long time time move forward toward next phase life therefore would like welcome warmheartedly school business economics university put malaysia,0.0,0.845,0.155,0.6705,positive
FaizYusof49,2022-09-23 09:32:39+00:00,2,Twitter for iPhone,work activitiestoday we did routine such as feeding change water larvae and juvenile fish rearing there are also new trainee from university put malaysia that come to do training with us,en,work activitiestoday routine feeding change water larva juvenile fish rearing also new trainee university put malaysia come training u,0.0,1.0,0.0,0.0,neutral
HIMASIERA,2022-09-23 06:31:58+00:00,0,Twitter for Android,this year stir was held on room meeting and livestreaming couture himasiera activity carried out with septemberattended byparticipants year is collaboration with kasetsart university thailand university put malaysia,en,year stir held room meeting livestreaming couture himasiera activity carried septemberattended byparticipants year collaboration kasetsart university thailand university put malaysia,0.0,1.0,0.0,0.0,neutral
DayakDaily,2022-09-21 07:48:09+00:00,0,DD SMAP,the faraway government has awarded my million in funding to agrihub a daddy transformation project belong initiated by university put malaysia bintulu camps pmb,en,faraway government awarded million funding agrihub daddy transformation project belong initiated university put malaysia bintulu camp pmb,0.0,0.891,0.109,0.4019,positive
